Property Name,City,State,Property Description,Leisure Activities,Brand,Total Guest Rooms,Total Meeting Rooms,Total Meeting Space,Largest Ballroom (Sq Ft),Closest Airport,Website URL,Hero Image URL,Travel Time to the Nearest Airport,Max Capacity of Largest Meeting Space,Peak Season,Slow Season,The Hero Feature,Friction Point,Pricing Tier,Breakout Capabilities (Total Mtg Sq Ft/Total Mtg Rooms),Vibe Tags,AI Reasoning
Hotel Indigo Cleveland Downtown,Cleveland,Ohio,"Centered in the vibrant Gateway District, this hotel offers a blend of historic theater-inspired design and modern energy, located directly across from Rocket Mortgage FieldHouse and Progressive Field.","24-hour fitness center, on-site dining at Headliner Bar & Eatery, rooftop terrace, business center, and pet-friendly accommodations.",Hotel Indigo (IHG),143,4,"2,948","2,100",Cleveland Hopkins International Airport (CLE),https://www.ihg.com/hotelindigo/hotels/us/en/cleveland/clehr/hoteldetail,,20 minutes from CLE,100,"Sep-Oct, May-Jun","Jan-Feb, Jul-Aug",Historic boutique property steps away from major downtown sports and entertainment venues,"Expensive valet-only parking creates bottlenecks, and downtown location leads to frequent loud street noise",2,737,Modern/Industrial | Serious/Academic | Public/See-and-be-Seen,"Branded as a ""modern Hollywood Regency"" boutique, this property blends a bold monochromatic palette and brass accents with industrial touches like black-washed brick walls and vintage sports-themed murals (Modern/Industrial). It functions as a primary hub for corporate travelers and mid-sized groups with nearly 3,000 square feet of dedicated meeting space (Serious), while its ""Headliners"" bar and prime location—directly across from Rocket Mortgage Fieldhouse and Progressive Field—make it a high-visibility social anchor for the Gateway District's sports and concert crowd (Public)."
Hotel Lucia,Portland,Oregon,"A luxurious boutique hotel in downtown Portland known for its extensive photography collection, eclectic art, and historic 1909 architecture, providing an artful and creative urban escape.","24-hour fitness center (Well+Fit), complimentary nightly craft beer hour, arcade and board game library, complimentary bicycles, and pet-friendly ""VIP"" treats.",Independent (Managed by Pyramid Global),127,3,"2,532","1,100",Portland International Airport (PDX),https://www.hotellucia.com/,,20 minutes from PDX,100,Jun-Aug,Nov-Jan,Historic downtown hotel featuring a world-class photography collection and nightly craft beer hour,"Small, slow elevators create bottlenecks for groups and expensive valet-only parking is a persistent friction point",3,844,Historic Charm | Modern/Industrial | Public/See-and-be-Seen,"Originally built in 1909 as the Imperial Hotel, this landmark property is steeped in storytelling and listed on the National Register of Historic Places (Historic). It seamlessly blends its classical exterior with a world-class collection of black-and-white photography and sleek, minimalist furnishings (Modern). The hotel functions as a high-visibility creative hub in the heart of downtown Portland, anchored by its proximity to the city’s culinary heavyweights and a vibrant lobby scene that draws a consistent crowd of artists and professionals (Public)."
Hotel Max,Seattle,Washington,"A boutique design hotel in downtown Seattle known for its extensive art collection (including an original Warhol), music-inspired ""Sub Pop"" floor with turntables, and a high-energy, creative atmosphere.","24-hour fitness center with Peloton bikes, daily craft beer hour in the lobby, ""Paige"" virtual concierge, bicycle rentals, pet-friendly ""spiritual menu,"" and on-site culinary partnerships.",Independent (Managed by Pyramid Global),163,3,"6,600",650,Seattle-Tacoma International Airport (SEA),https://www.hotelmaxseattle.com/,,20 minutes from PDX,40,Jun-Aug,Nov-Jan,Pop-culture themed boutique hotel featuring sub-pop records and locally-sourced artwork,Single small elevator bank creates significant bottlenecks and no on-site parking available,3,2200,Modern/Industrial | High-Energy/Buzzing | Public/See-and-be-Seen,"Positioned as a premier creative sanctuary in downtown Seattle, this boutique property features an extensive collection of original local art and a unique partnership with Sub Pop Records (Modern/Industrial), while serving as a high-visibility social anchor driven by its legendary daily craft beer hour and the ""Artist Loft""—a 6,300-square-foot raw, versatile event space with a car elevator that attracts a vibrant crowd of influencers and industry professionals (High-Energy/Public)."
Hotel Murano,Tacoma,Washington,"An art-centric luxury hotel in downtown Tacoma featuring a museum-quality glass art collection with works from 45 artists across 12 countries, offering panoramic views of Mount Rainier and the Puget Sound.","Curated glass art collection, 24-hour fitness center with Peloton bikes (Well+Fit program), ""Paige"" virtual concierge, BITE restaurant and BAR960, bicycle rentals, and pet-friendly ""VIP"" perks.",Independent (Managed by Pyramid Global),319,26,"28,000","13,200",Seattle-Tacoma International Airport (SEA),https://www.hotelmuranotacoma.com/,,25 minutes from SEA,"1,000",Jun-Sep,Nov-Mar,Boutique glass-art themed hotel showcasing a massive international collection of hand-blown glass,"Only three elevators serving a 25-story tower, resulting in significant congestion during group check-outs",3,1077,Modern/Industrial | Serious/Academic | Public/See-and-be-Seen,"Positioned as a ""living art gallery"" in the heart of downtown Tacoma, this high-design property showcases an international collection of studio glass art (Modern), while serving as the South Sound’s premier convention destination with 30,000 square feet of versatile event space, including the expansive Bicentennial Pavilion (Serious). Its dramatic, museum-worthy lobby and proximity to the city's cultural district make it a high-visibility social and corporate anchor for the region (Public)."
"Hotel Paradox, Autograph Collection",Santa Cruz,California,"An ""urban forest"" boutique retreat featuring reclaimed wood decor, a vibrant social scene, and a mid-century modern aesthetic, located within walking distance of downtown Santa Cruz and the Beach Boardwalk.","Outdoor heated pool with private cabanas and fire pits, poolside bar and restaurant (ALTO), 24-hour fitness center, complimentary bicycle rentals, and pet-friendly accommodations.",Autograph Collection (Marriott),170,10,"8,000","4,300",San Jose Mineta International Airport (SJC),https://www.hotelparadox.com/,,45 minutes from SJC,400,May-Oct,Nov-Feb,Urban-forest aesthetic with reclaimed wood decor and a poolside bar and fire pits,Limited and expensive on-site parking and significant noise bleed from the pool area,3,800,Novelty/Themed | Public/See-and-be-Seen | High-Energy/Buzzing,"Designed around the concept of ""expect the unexpected,"" this property blurs the line between the rugged Santa Cruz mountains and urban sophistication, featuring an immersive ""nature-meets-neon"" aesthetic anchored by a massive 15,000-pound eucalyptus log front desk (Novelty/Themed). It serves as a primary social anchor for the city, driven by the high-visibility energy of its vibrant pool deck and ""The Solaire"" restaurant, which frequently host lively weekend events and a consistent crowd of locals and travelers (Public/High-Energy)."
Hotel Valley Ho,Scottsdale,Arizona,"Originally opened in 1956 and a former hideaway for Hollywood icons, this mid-century modern landmark in Old Town Scottsdale features vibrant design, floor-to-ceiling glass, and a classic desert-cool atmosphere.","Two signature pools (OH Pool and OHasis Pool), full-service VH Spa, 24-hour high-tech fitness center and movement studio, on-site dining at ZuZu, and the panoramic Sky Line Rooftop with 360-degree views.",Independent (Managed by Pyramid Global),241,17,"40,646","3,850",Phoenix Sky Harbor International Airport (PHX),https://www.hotelvalleyho.com/,,15 minutes from PHX,500,Jan-Apr,Jun-Aug,"Mid-century modern architectural landmark with a vibrant, Hollywood-inspired pool scene",No elevators in the original two-story wings and significant noise bleed from the pool,4,2391,Historic Charm | Novelty/Themed | Public/See-and-be-Seen,"Originally opened in 1956 and designed by Edward L. Varney, this mid-century modern icon is a masterclass in architectural storytelling and Hollywood-era nostalgia (Historic). It leans completely into its ""classically cool"" aesthetic, from the retro-chic Tower suites to the vibrant, 1950s-inspired ZuZu restaurant (Novelty/Themed), while serving as a high-visibility social anchor in Old Town Scottsdale—driven by the high-energy ""OH Pool"" scene and its rooftop terrace that draws a consistent crowd of trendsetters and locals (Public)."
Inn at Perry Cabin,St. Michaels,Maryland,"A historic boutique waterfront resort on the Miles River with a nautical heritage dating to 1816, featuring lush gardens and a sophisticated Chesapeake Bay atmosphere (famously the setting for ""Wedding Crashers"").","Links at Perry Cabin (Pete Dye-designed golf course), full-service luxury spa, zero-edge infinity pool, a fleet of five sailboats and a 55-foot Hinckley yacht, tennis courts, and complimentary kayaks and paddleboards.",Independent (Managed by Pyramid Global),78,5,"6,443","1,536",Baltimore/Washington International Airport (BWI),https://www.innatperrycabin.com/,,90 minutes from BWI,180,May-Oct,Nov-Mar,"Historic luxury estate on the Miles River famously featured in ""Wedding Crashers""",Sprawling 26-acre layout with multiple separate buildings requires significant outdoor walking between venues,5,1289,Historic Charm | Luxury/Pampering | Secluded/Private,"Steeped in history dating back to 1812 and famously serving as the backdrop for ""Wedding Crashers,"" this Eastern Shore landmark offers deep storytelling through its nautical heritage and colonial architecture (Historic). The resort provides a top-tier, high-touch experience featuring a full-service spa, a Pete Dye-designed golf course, and a fleet of luxury yachts and sailboats (Luxury), all situated on 26 secluded acres of manicured gardens and shoreline that create a hushed, retreat-like atmosphere (Secluded)."
InterContinental Seattle Bellevue at The Avenue,Bellevue,Washington,"The first InterContinental property in the Pacific Northwest, this luxury hotel is a centerpiece of the Avenue Bellevue complex, blending modern Feng Shui design with upscale retail and residential spaces in the heart of downtown.","Full-service spa and beauty salon, Les Clefs d'Or-certified concierge, 24-hour fitness center, CE LA VI cocktail lounge, signature dining by Iron Chef Masaharu Morimoto, and a covered outdoor terrace.",InterContinental Hotels (IHG),208,9,"11,756","4,272",Seattle-Tacoma International Airport (SEA),https://www.ihg.com/intercontinental/hotels/us/en/bellevue/seaha/hoteldetail,,25 minutes from SEA,420,Jun-Sep,Nov-Mar,Sophisticated luxury within the prestigious Avenue mixed-use development featuring world-class dining and retail,High valet costs and confusing street-level access to the hotel lobby,4,1306,Luxury/Pampering | Modern/Industrial | Serious/Academic,"Marking the brand's debut in the Pacific Northwest, this 5-star high-rise within the $1B+ Avenue Bellevue complex offers a hyper-refined urban experience featuring Les Clefs d’Or concierge service and a luxury car chauffeur (Luxury), while delivering a sleek, ""Feng Shui-inspired"" aesthetic across its 208 rooms and designer shopping enclave (Modern). The property functions as a premier business hub with a dedicated 12,000-square-foot conference center—connected by a sky bridge—that features nine multi-functional rooms designed for high-profile privacy and corporate precision (Serious)."
La Quinta Resort & Club,La Quinta,California,"A historic 45-acre desert oasis established in 1926, featuring iconic Spanish-style casitas and a storied Hollywood heritage set against the backdrop of the Santa Rosa Mountains.","41 climate-controlled swimming pools, 53 whirlpool spas, 21 tennis courts, 8 pickleball courts, 5 championship golf courses, the full-service Spa La Quinta, and seven on-site dining options.",Curio Collection by Hilton,796,45,"190,000","16,940",Palm Springs International Airport (PSP),https://www.laquintaresort.com/,,35 minutes from PSP,"2,000",Jan-Apr,Jun-Aug,45-acre historic desert oasis featuring 41 pools and 5 championship golf courses,Sprawling layout with disjointed buildings requires extensive walking and outdoor navigation for group movements,4,4222,Historic Charm | Athletic/Active | Secluded/Private,"Originally opened in 1926 as a desert retreat for Hollywood’s elite, this Waldorf Astoria property offers deep architectural storytelling through its iconic white-washed casitas and terracotta-tiled roofs (Historic). It serves as a premier global destination for sports enthusiasts, featuring five championship golf courses—including the legendary PGA WEST Stadium Course—and a world-class tennis center with 23 courts (Athletic), while its expansive 45-acre layout, dotted with 41 individual pools and quiet courtyards, maintains a hushed, bungalow-style atmosphere for total isolation (Secluded)."
Lake Arrowhead Resort & Spa,Lake Arrowhead,California,"Nestled in the San Bernardino National Forest at an elevation of 5,174 feet, this lakeside retreat offers a mountain escape with a mix of rustic charm and modern luxury, providing exclusive access to a private lake beach.","Private lake beach and dock, full-service ""Spa of the Pines,"" heated outdoor pool and hot tubs, fitness studio, on-site dining at BIN189, and seasonal mountain activities like hiking and skiing.",Autograph Collection (Marriott),173,14,"23,000","4,004",San Bernardino International Airport (SBD),https://www.lakearrowheadresort.com/,,70 minutes from ONT,450,Jun-Aug,"Apr-May, Oct-Nov",Private lakeside beach and marina access with panoramic mountain views,Parking is across a busy road and elevators are small and slow,4,1643,Secluded/Private | Wellness/Zen | Athletic/Active,"Nestled deep within the San Bernardino National Forest at an elevation of 5,100 feet, this lakeside sanctuary offers a hushed, retreat-like environment defined by its private beach access and quiet alpine surroundings (Secluded). The property functions as a primary hub for mental and physical restoration, anchored by the full-service ""Spa of the Pines"" and its focus on mountain-inspired wellness treatments (Wellness), while serving as a gateway to high-altitude recreation including lake excursions, nearby hiking trails, and seasonal mountain sports (Athletic)."
"MargaritaVille Lake Resort, Lake Conroe",Montgomery,Texas,"A Jimmy Buffett-inspired 186-acre waterfront paradise on Lake Conroe, featuring all-suite accommodations and a laid-back ""island"" atmosphere just an hour north of Houston.","Jolly Mon Water Park, Fins Up! Fitness Center, 18-hole golf course, St. Somewhere Spa, marina with boat rentals, private beach, and five signature Margaritaville-themed restaurants and bars.",Independent (Managed by Pyramid Global),335,20,"72,000","11,520",George Bush Intercontinental Airport (IAH),https://www.margaritavilleresorts.com/margaritaville-lake-resort-lake-conroe,,60 minutes from IAH,840,"Mar-May, Sep-Oct","Jan-Feb, Jul-Aug","84,000-square-foot conference center situated on a 186-acre waterfront resort with a water park and golf course","Sprawling layout with long distances between the main tower and conference center, and significant noise from the outdoor water park",3,3600,High-Energy/Buzzing | Serious/Academic | Athletic/Active,"Bringing Jimmy Buffett’s ""island state of mind"" to the shores of Lake Conroe, this resort functions as a high-energy playground featuring a 3.5-acre water park, private beach, and a rotating schedule of live music across its signature bars (High-Energy). While it leans heavily into its laid-back tropical theme, the property maintains a professional edge with a 72,000-square-foot IACC-certified conference center designed for ergonomic productivity and ""serious learning"" (Serious), and serves as a primary hub for recreation with its championship golf course, tennis courts, and extensive lakefront marina (Athletic)."
Marriott Boston Newton,Newton,Massachusetts,"Set on 22 acres of scenic riverfront land along the Charles River, this hotel offers comfortable accommodations and convenient access to major highways and downtown Boston.","Indoor swimming pool, health club fitness center, riverside walking paths, and outdoor patios.",Marriott Hotels,430,10,"31,590","9,324",Boston Logan International Airport (BOS),https://www.marriott.com/en-us/hotels/bosnt-boston-marriott-newton/overview/,,20 minutes from BOS,"1,200","March-June, September-mid November","January-February, July-August,","Customer service, client services and location (prime)",The building is dated,3,3159,Serious/Academic | Wellness/Zen,"Operating as a high-capacity suburban conference center and university-adjacent hub with over 20,000 square feet of meeting space (Serious), this property distinguishes itself from standard business hotels with its 22-acre scenic footprint along the Charles River, offering outdoor pavilions and riverside walking paths for decompression (Wellness)."
Marriott Colorado Springs,Colorado Springs,Colorado,"A mountain-view hotel situated near the base of Pikes Peak, offering a mix of Southwestern charm and modern amenities, including easy access to the Garden of the Gods and the U.S. Air Force Academy.","Indoor and outdoor heated pools and hot tubs, 24-hour fitness center, on-site dining at Ascent Restaurant & Bar, complimentary local shuttle (within 3 miles), and a large outdoor function space.",Marriott Hotels,309,15,"24,001","7,128",Colorado Springs Airport (COS),https://www.marriott.com/en-us/hotels/cosmc-colorado-springs-marriott/,,20 minutes from COS,777,"Jun-Aug, Sep-Oct",Nov-Feb,"Pikes Peak mountain views from many guest rooms and over 24,000 square feet of versatile meeting space",Property is visibly aging with inconsistent housekeeping and frequent elevator reliability issues,3,1600,Serious/Academic | Modern/Industrial | Wellness/Zen,"Fresh off a $15 million renovation, this northwest Colorado Springs property serves as a major regional convention hub with over 24,000 square feet of versatile meeting space and 15 breakout rooms (Serious). The interior design, crafted in partnership with Wright Heerema Architects, delivers a sleek, updated aesthetic inspired by the ""MC2"" standard, featuring custom artwork and textures that reflect the local geological landscape (Modern). Despite its high-efficiency corporate focus, the resort leans into its proximity to the Rocky Mountains and Garden of the Gods with an expansive outdoor courtyard, a seasonal pavilion, and the ""Ascent"" restaurant, providing a sense of alpine rejuvenation for group travelers (Wellness)."
Marriott Fort Lauderdale North,Fort Lauderdale,Florida,"Located near the Cypress Creek Nature Preserve and the business district, offering a relaxed setting with stylish accommodations and easy access to Pompano Beach.","Rooftop pool with cabanas, whirlpool, 24-hour fitness center, and on-site dining including The Preserve.",Marriott Hotels,315,19,"26,745","5,082",Fort Lauderdale-Hollywood International Airport (FLL),https://www.marriott.com/en-us/hotels/fllcc-fort-lauderdale-marriott-north/overview/,,20 minutes from FLL,700,January-April,July-September,Convention space/Free parking garage/Rooftop pool,No shuttle to the airport,3,1408,Serious/Academic | Modern/Industrial,"Situated near the Cypress Creek Business Park with nearly 27,000 square feet of event space, this property caters heavily to a ""heads down"" corporate and transient clientele (Serious), providing a highly functional, contemporary environment optimized for travel efficiency rather than leisure excess (Modern)."
Marriott Houston Westchase,Houston,Texas,"An upscale hotel located in the heart of the Westchase District and Energy Corridor, featuring contemporary Texas-themed decor and extensive event facilities suited for large-scale corporate and social gatherings.","Indoor and outdoor heated swimming pools, 24-hour state-of-the-art fitness center, M Club lounge, on-site Starbucks, and the Republic Grill & Lounge.",Marriott Hotels,604,21,"43,000","9,336",William P. Hobby Airport (HOU),https://www.marriott.com/en-us/hotels/houwm-houston-marriott-westchase/overview/,,35 minutes from IAH,"1,000","Feb-May, Sep-Nov","Jul-Aug, Dec-Jan","Over 43,000 square feet of flexible ground-floor meeting space including a dedicated 15,000-square-foot exhibit center","Dated property with inconsistent room cleanliness and some ""upgraded"" suites bizarrely lacking standard desks or dressers",3,2048,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"Positioned as a major corporate pillar in the Westchase Business District, this property functions as a heavy-hitting convention hub with nearly 40,000 square feet of flexible meeting space, all conveniently located on a single level for maximum event flow (Serious). Following a comprehensive $20 million ""studs-up"" renovation, the hotel delivers a sleek, updated aesthetic featuring the brand’s latest room packages and a tech-forward M Club lounge designed for high-efficiency business travelers (Modern). Its expansive lobby and ""Republic"" social spaces serve as a high-visibility networking anchor for the surrounding Energy Corridor, drawing a consistent crowd of corporate professionals and local stakeholders (Public)."
Marriott Phoenix Chandler,Chandler,Arizona,"Opened in 2019 as the newest full-service hotel in the Southeast Valley's tech hub, this contemporary property features a sleek, modern design tailored for business and conference travelers in the Price Road Corridor.","Outdoor pool and sun deck, M Club Lounge, 24-hour fitness center with Peloton bikes, on-site dining at Proof 19 (Southwest cuisine) and Proof 19 Bar, a lobby Starbucks, and complimentary on-site parking.",Marriott Hotels,264,22,"30,550","10,100",Phoenix Sky Harbor International Airport (PHX),https://www.marriott.com/en-us/hotels/phxml-marriott-phoenix-chandler/overview/,,15 minutes from PHX,"1,000",Jan-Apr,Jul-Aug,"Modern full-service property opened in 2019; currently the newest Marriott in the state with over 30,000 square feet of space","Frequent complaints regarding rude restaurant and bar staff, inconsistent hot water, and noise bleed from upper floors",3,1389,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"As the largest Marriott in Arizona by meeting square footage, this property functions as a dominant regional convention powerhouse with over 28,000 square feet of flexible event space, including the expansive 10,000-square-foot Gila Ballroom (Serious). The design is sleek and tech-forward, featuring the brand's signature ""Greatroom"" lobby and a sophisticated M Club designed for maximum corporate productivity (Modern). Its centralized location in the Price Road Corridor—Arizona's ""Silicon Desert""—makes it a high-visibility social and networking anchor for tech executives and local business leaders (Public)."
Marriott Pittsburg Airport,Coraopolis,Pennsylvania,"A newly renovated hotel located minutes from Pittsburgh International Airport, featuring modern residential-style design, a beautiful outdoor courtyard, and versatile event venues.","Indoor pool, state-of-the-art fitness center, outdoor courtyard with a fire sculpture, on-site dining at Runner Stone Mill House, and a lobby Starbucks.",Marriott Hotels,317,17,"12,639","4,840",Pittsburgh International Airport (PIT),https://www.marriott.com/en-us/hotels/pitmc-pittsburgh-airport-marriott/overview/,,10 minutes from PIT,650,Spring/Fall,Winter/Summer,"Great room Lobby, Outdoor courtyard, M Club",Proximity to the airport is convenient for travel but may result in noticeable aircraft noise during peak flight hours.,2,743,Serious/Academic | Modern/Industrial,"Operating as a primary transit and corporate meeting hub with extensive event space, this airport-adjacent property caters heavily to ""heads down"" business travelers (Serious), featuring a sleek, functional interior designed for high-efficiency layovers and corporate gatherings (Modern)."
Marriott Pittsburg North,Cranberry Township,Pennsylvania,"The only full-service hotel in Cranberry Township, located within the Cranberry Woods Business Park; recently renovated (2021) with a modern Greatroom, M Club lounge, and upscale amenities tailored for the North Hills business corridor.","Indoor heated pool, 24-hour fitness center, M Club Lounge (concierge level), on-site dining at RC Grille, a lobby Starbucks coffee bar, 24-hour business center, and complimentary on-site parking.",Marriott Hotels,298,13,"11,997","7,480",Pittsburgh International Airport (PIT),https://www.marriott.com/en-us/hotels/pitno-pittsburgh-marriott-north/overview/,,30 minutes from PIT,940,"Sep-Oct, May-Jun","Jan-Feb, Jul-Aug","Over 13,000 square feet of modern meeting space located in the Cranberry business district","Reports of outdated bathroom fixtures, inconsistent hot water, and noise from the nearby highway",2,923,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen  ,"Located in the heart of Cranberry Woods Business Park, this property functions as a dominant suburban convention hub with over 13,000 square feet of versatile meeting space, specifically designed to handle large-scale corporate trainings and regional association meetings (Serious). The hotel features the brand’s signature ""Greatroom"" lobby—a multi-functional, tech-enabled space that serves as both a ""heads down"" workspace and a high-visibility social anchor for the surrounding business district (Modern/Public). Its proximity to major regional corporate headquarters like Westinghouse makes it a primary networking pillar for North Pittsburgh professionals (Public)."
Marriott Pleasanton,Pleasanton,California,"A contemporary hotel in the Tri-Valley business corridor, recently renovated to feature a ""Lobby Reinvented"" design and upscale accommodations, located just steps from the Dublin/Pleasanton BART station for easy access to San Francisco.","Outdoor pool and whirlpool oasis, 24-hour fitness center, M Club lounge, on-site dining at Lone Oak Kitchen + Bar, complimentary shuttle service within a five-mile radius, and a 24-hour business center.",Marriott Hotels,245,3,"4,175","3,200",Oakland International Airport (OAK),https://www.marriott.com/en-us/hotels/oakmc-pleasanton-marriott/overview/,,25 minutes from OAK,350,"Mar-May, Sep-Oct","Dec-Feb, Jul-Aug",Convenient Tri-Valley location with walking distance to the West Pleasanton BART station and Stoneridge Mall,Guest rooms and bathrooms showing significant signs of wear and tear alongside frequent complaints about thin walls,3,1392,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen  ,"Situated at the crossroads of I-580 and I-680 in the Tri-Valley, this property functions as a primary corporate hub for East Bay business, offering over 14,000 square feet of versatile meeting space and a dedicated 24-hour business center (Serious). Following a significant update, the hotel features the brand’s contemporary guest room design and a sleek, open-concept ""Greatroom"" lobby that facilitates both collaborative work and social networking (Modern). Its location adjacent to the Stoneridge Shopping Center and major business parks like Hacienda makes it a high-visibility social and professional anchor for local executives and regional travelers (Public)."
Marriott San Antonio Northwest,San Antonio,Texas,"Strategically located near the South Texas Medical Center, this full-service hotel offers a sophisticated home base for medical, corporate, and leisure travelers, featuring a contemporary Greatroom and versatile indoor-outdoor event spaces.","Outdoor swimming pool and terrace, 24-hour fitness center, M Club Lounge, on-site dining at Asador Restaurant & Bar, complimentary airport shuttle, and free local shuttle service (3-mile radius).",Marriott Hotels,297,9,"11,000","6,084",San Antonio International Airport (SAT),https://www.marriott.com/en-us/hotels/satnw-san-antonio-marriott-northwest-medical-center/overview/,,15 minutes from SAT,600,"Mar-May, Sep-Oct","Dec-Feb, Jul-Aug","Over 9,000 square feet of versatile space located in the heart of the San Antonio Medical Center district","Aging property with frequent reports of thin walls, dated bathroom fixtures, and inconsistent room cleanliness",3,1222,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen  ,"Positioned at the gateway to the South Texas Medical Center and the USAA corporate corridor, this property functions as a primary hub for healthcare symposia and high-stakes corporate training with over 13,000 square feet of versatile, tech-equipped event space (Serious). Following a comprehensive renovation, the hotel features the brand’s signature ""Greatroom"" lobby and ""elevated"" guest rooms that prioritize a clean, minimalist aesthetic optimized for executive travelers (Modern). Its centralized location makes it a high-visibility social anchor for the region, where the ""Asado Urban Grill"" serves as a primary networking pillar for local medical professionals and business leaders (Public)."
Marriott Spartanburg,Spartanburg,South Carolina,"Located in the heart of downtown Spartanburg, this full-service conference hotel is integrated with the city's business and academic life, offering a blend of traditional hospitality and expansive event facilities.","Seasonal outdoor pool and whirlpool, 24-hour fitness center, M Club Lounge, on-site dining at Sparks Fire-Inspired Grille, Terrace on N. Church (outdoor dining), a lobby Starbucks, and the Mesh lounge.",Marriott Hotels,247,25,"29,604","11,340",Greenville-Spartanburg International Airport (GSP),https://www.marriott.com/en-us/hotels/spamc-spartanburg-marriott/overview/,,20 minutes from GSP,"1,500","Mar-May, Sep-Oct","Jan-Feb, Jul-Aug","Prominent downtown anchor featuring over 29,000 square feet of meeting space and a club-grade fitness center with a sauna","Inconsistent front desk service, dated bathroom fixtures in older wings, and surprising parking fees for the market",3,1184,Serious/Academic | Modern/Industrial | Public/See-and-be-Seen,"Functioning as the dominant convention anchor in Upstate South Carolina, this property provides massive utility with nearly 30,000 square feet of IACC-certified event space, including the 1,500-capacity Heritage Ballroom (Serious). The design reflects a crisp, corporate-modern aesthetic with tech-forward ""Greatroom"" hubs and specialized breakout rooms (Modern), while its downtown location and proximity to the Chapman Cultural Center and local universities make it a high-visibility social pillar for the city's business and academic community (Public)."
Mountain Shadows,Paradise Valley,Arizona,"A desert icon originally opened in 1959 and completely rebuilt in 2017, this luxury boutique resort blends mid-century modern design with contemporary minimalism, offering breathtaking views of Camelback Mountain and Mummy Mountain.","The Short Course (18-hole par-3 golf course), two 75-foot connecting pools (The Citizens Club), high-tech fitness center and juice bar, on-site dining at Hearth '61, and the scenic Camelback Overlook rooftop deck.",Independent (Managed by Pyramid Global),183,11,"12,500","4,500",Phoenix Sky Harbor International Airport (PHX),https://www.mountainshadows.com/,,20 minutes from PHX,400,Jan-Apr,Jun-Aug,Ultra-modern boutique resort with floor-to-ceiling glass walls offering iconic views of Camelback Mountain,Limited indoor meeting space for larger breakout needs and significant noise bleed from the central pool deck,4,1136,Historic Charm | Modern/Industrial | Public/See-and-be-Seen,"Originally a 1950s celebrity retreat and completely rebuilt in 2017, this Paradise Valley icon blends its mid-century desert heritage (Historic) with a sleek, minimalist aesthetic featuring floor-to-ceiling glass and ""butterfly"" rooflines (Modern). The property serves as a high-visibility social anchor, driven by the ""Rusty’s"" patio and the high-energy ""Citizens Club"" pool scene that attracts a consistent crowd of locals and trendsetters against the backdrop of Camelback Mountain (Public)."
Naples Grande Beach Resort,Naples,Florida,"A premier eco-smart beach resort set on 23 waterfront acres adjoining an estuary and the Gulf of Mexico, featuring panoramic water views from nearly every guest room and a sophisticated, contemporary Florida vibe.","Three outdoor pools (including the Mangrove Mountain waterslide pool), a private beach accessible via an open-air tram through a mangrove preserve, 15 championship tennis courts, the full-service Spa at Naples Grande, and an 18-hole par-72 championship golf course.",Independent (Managed by Pyramid Global),474,30,"83,000","14,442",Southwest Florida International Airport (RSW),https://www.naplesgrande.com/,,40 minutes from NAP,"1,660",December-April,June - September,"Beach access, Tennis and Golf Clubs, Large Ballroom",8/10ths of a mile from the beach. Not a true beach front property although it provides very close access.,4,2767,Serious/Academic | Luxury/Pampering | Athletic/Active,"Positioned as the premier convention powerhouse of Florida's Paradise Coast, this resort functions as a dominant business anchor with over 83,000 square feet of flexible meeting space, much of it conveniently situated on a single level for high-efficiency corporate flow (Serious). While it maintains a professional edge with IACC-certified facilities, the property leans into an upscale ""barefoot luxury"" identity, featuring a par-72 championship golf course, an award-winning tennis center with 15 Har-Tru courts, and a full-service ""Spa Village"" centered around organic and Eastern therapies (Luxury/Athletic). Its 23-acre waterfront setting within a protected mangrove estuary offers a high-end, independent vibe that balances heavy-hitting boardroom utility with a sophisticated coastal retreat (Serious/Luxury)."
